Date,Open,High,Low,Close,Adj Close,Volume
2020-06-10,109.5999984741211,109.5999984741211,105.0,108.5999984741211,101.01136016845703,851618
2020-06-11,109.0,109.0,104.80000305175781,106.0,98.59304809570312,425356
2020-06-12,106.4000015258789,109.8759994506836,105.0,108.0,100.45329284667969,551582
2020-06-15,107.0,107.69999694824219,106.0,107.5999984741211,100.08123779296875,505033
2020-06-16,111.0,111.0,108.5999984741211,108.5999984741211,101.01136016845703,1284631
2020-06-17,110.0,110.0,108.09200286865234,109.0,101.38341522216797,331384
2020-06-18,110.0,110.0,107.80000305175781,108.4000015258789,100.8253402709961,231851
2020-06-19,110.0,110.0,106.0,108.4000015258789,100.8253402709961,716065
2020-06-22,110.4000015258789,110.4000015258789,107.01599884033203,109.0,101.38341522216797,355105
2020-06-23,111.0,111.19999694824219,109.0,109.4000015258789,101.75546264648438,221157
2020-06-24,108.80000305175781,109.5999984741211,106.19999694824219,108.5999984741211,101.01136016845703,292662
2020-06-25,108.5999984741211,110.19999694824219,106.19999694824219,109.5999984741211,101.94147491455078,566497
2020-06-26,111.0,111.0,108.80000305175781,109.0,101.38341522216797,376723
2020-06-29,111.0,111.85399627685547,109.19999694824219,109.4000015258789,101.75546264648438,321327
2020-06-30,112.0,112.0,109.19999694824219,110.0,102.31353759765625,407940
2020-07-01,110.0,110.36199951171875,108.19999694824219,110.0,102.31353759765625,253392
2020-07-02,108.5999984741211,110.0,108.4000015258789,108.5999984741211,101.01136016845703,185239
2020-07-03,108.5999984741211,109.19999694824219,105.80000305175781,107.80000305175781,100.26726531982422,299927
2020-07-06,107.19999694824219,112.0,107.19999694824219,109.4000015258789,101.75546264648438,499587
2020-07-07,109.80000305175781,111.0,107.0,107.19999694824219,99.70918273925781,536662
2020-07-08,107.19999694824219,110.80000305175781,107.19999694824219,108.0,100.45329284667969,449924
2020-07-09,110.5999984741211,111.0,107.4000015258789,108.0,100.45329284667969,282220
2020-07-10,107.19999694824219,109.80000305175781,106.0260009765625,106.80000305175781,99.33714294433594,259989
2020-07-13,106.5999984741211,110.0,106.19999694824219,107.0,99.52316284179688,137910
2020-07-14,105.4000015258789,108.4000015258789,105.0,105.0,97.66291809082031,298162
2020-07-15,106.0,107.06700134277344,104.0,105.5999984741211,98.22099304199219,1031861
2020-07-16,105.19999694824219,108.4000015258789,104.88999938964844,106.4000015258789,98.965087890625,366367
2020-07-17,104.19999694824219,108.80000305175781,103.69400024414062,105.4000015258789,98.03496551513672,324075
2020-07-20,105.5999984741211,107.5999984741211,105.0,106.5999984741211,99.15111541748047,222027
2020-07-21,109.0,109.0,104.19999694824219,105.4000015258789,98.03496551513672,369334
2020-07-22,106.4000015258789,106.4000015258789,105.5999984741211,106.0,98.59304809570312,263325
2020-07-23,104.19999694824219,109.23899841308594,104.19999694824219,105.80000305175781,98.40702819824219,475037
2020-07-24,108.80000305175781,108.80000305175781,105.0999984741211,106.0,98.59304809570312,342092
