,Stock,Industry,Ticker,Beta (^FTSE),Alpha (^FTSE),Covariance (^FTSE),Beta (^FTLC),Alpha (^FTLC),Covariance (^FTLC),Beta (IUKP.L),Alpha (IUKP.L),Covariance (IUKP.L)
11,Shaftesbury Plc,Retail,SHB.L,1.7790525156302683,-0.04418969192936103,0.030093579621609315,1.7118820906949153,-0.057973756627680256,0.030704810835147204,1.1684810752941714,-0.06105751511913319,0.042757509213947636
12,Safestore Ltd.,Self Storage,SAFE.L,1.8734794036470315,0.26681696874696487,0.031690858537204755,1.8611622545516844,0.2514026659981102,0.033382342902090675,1.336464351096245,0.24638619464090533,0.048904417892881975
13,Great Portland Estates Plc,Office,GPOR.L,1.5702520563300644,0.01593510902901732,0.026561613481333127,1.5391162525137425,0.003335793099148405,0.02760603294094353,1.131997590178387,-0.0014870515153356419,0.041422491485395764
14,Workspace Group Plc,Office,WKP.L,2.530007221805009,0.07969543577409516,0.04279636104258701,2.4903492983641686,0.05923363521803681,0.04466762315894848,1.793273536549773,0.052395356701418885,0.06562015541659655
15,Capital & Counties Properties PLC,Retail,CAPC.L,2.154154925741343,-0.07076586310112845,0.03643862798064333,2.055734131584189,-0.08719336013095902,0.03687224019735205,1.3991545618212562,-0.0907950738578496,0.05119840221096274
16,Sirius Real Estate Limited,Diversified,SRE.L,1.2801038087723957,0.19905021526323874,0.021653608060900807,1.316209109419019,0.18783314210725588,0.023607906142532893,0.9731860080731529,0.18357954680502941,0.03561119695207469
17,CLS Holdings Plc,Office,CLI.L,2.4124939269450065,0.16702215162793776,0.04080856379410932,2.3787521550438666,0.14744808676577992,0.042665984615021836,1.586544911365253,0.14409760017860726,0.05805546200135358
18,UK Commercial Property REIT,Industrial,UKCM.L,1.0653147992710963,0.0310553821844783,0.01802034254316873,0.9962002580567899,0.023245776951139212,0.017868135103359675,0.6759332808435786,0.021553048555129066,0.024734010755293682
19,Hammerson Plc,Retail,HMSO.L,3.5689812348585117,-0.08407082779853434,0.06037113576784671,3.2994069648748345,-0.10964931910784306,0.05917911477391793,2.1609628738927693,-0.11329894254743725,0.0790747851591925
20,GCP Student Living plc ,Student,DIGS.L,1.4013507188699865,0.07798672133976123,0.023704561313173583,1.3337173166759582,0.0673555681176651,0.023921938396745352,1.0363817274923697,0.06178032835525978,0.03792367903884614
21,LXI REIT PLC,Diversified,LXI.L,0.7844894635386687,0.15197216648686382,0.016125996569073913,0.7079157179200772,0.14585609699505647,0.015381904571782795,0.4847043572275413,0.13898621689911145,0.02292292976135674
22,BMO Commercial Property Trust Limited,Diversified,BCPT.L,0.9782681764679971,-0.03361715437991527,0.016547904573461454,0.8887315349153664,-0.04038762643604491,0.015940545094276334,0.5744464237317182,-0.041178538483975985,0.021020364621176783
23,Target Healthcare REIT Limited,Heathcare,THRL.L,0.1903632567444309,0.05357162009759102,0.003220091466405007,0.20307354734832692,0.051790613538525584,0.0036423857056776246,0.16944717667264841,0.05064852157231943,0.00620047630299376
24,Helical plc.,Office,HLCL.L,1.8888407157215947,0.12650536784809502,0.031950702956605986,1.8499814305356588,0.11137140782754114,0.033181800418318454,1.3762935456741778,0.1051802405318736,0.05036186310971729
25,Tritax Eurobox PLC,Industrial,BOXE.L,0.5346760881908483,0.09523930320871427,0.011806863173318572,0.5118918883224658,0.08990320610283312,0.011180666652686017,0.2918328410118915,0.09049136262983254,0.014961458064512812
26,Picton Property Income Limited,Diversified,PCTN.L,1.097801563614344,0.07484619223749826,0.018569872712077565,1.0259011431621865,0.06680886604941316,0.018400858743471735,0.7119888607519562,0.06466530464393921,0.026053370411810647
27,ESP Empiric Student Property,Student,ESP.L,0.7281583762934077,-0.0005691387375885322,0.012317169887682769,0.6605738488494544,-0.0055941825264717755,0.011848243043032298,0.5094258112590532,-0.008257816465609982,0.018641105345457168
28,Supermarket Income REIT,Retail,SUPR.L,0.6500484821209109,0.10168175101935453,0.013362422415628537,0.6452261687317958,0.09677375925265902,0.014019758430861685,0.4441617256376861,0.09048798815977308,0.0210055632627541
29,Stenprop,Industrial,STP.L,0.7058776234582818,0.19846799837012385,0.01558738215782037,0.7364387850431418,0.18902182794701464,0.016085186644898615,0.5111686022500772,0.18370861184817083,0.026206192489996453
30,FTSE100,Index,^FTSE,1.0000000000000002,0.0,0.01691550943955581,0.9686072041459439,-0.007845867029662976,0.01737321813138959,0.6636804120245964,-0.009654576403765412,0.02428564906377632
31,FTSE350,Index,^FTLC,1.0270585224447013,0.00813790293327285,0.01737321813138959,1.0,-3.469446951953614e-18,0.017936288370586907,0.6879408280363245,-0.0019365712046382905,0.02517339554344825
32,iShares UK Property,ETF,IUKP.L,1.4357030836438138,0.015048165029479251,0.02428564906377632,1.4034896754185349,0.003586052172092978,0.02517339554344825,0.9999999999999999,-3.469446951953614e-18,0.036592384864413144
