,Stock,Industry,Ticker,Beta (^FTSE),Alpha (^FTSE),Covariance (^FTSE),Beta (^FTLC),Alpha (^FTLC),Covariance (^FTLC),Beta (IUKP.L),Alpha (IUKP.L),Covariance (IUKP.L)
10,Grainger Plc,Residential,GRI.L,0.6246642256231555,0.008944605247819773,0.0009758356878025695,0.6555789162209442,0.00838930220023772,0.0010737861432645332,0.6929138013467288,0.008621757333484154,0.001513581942721412
11,Shaftesbury Plc,Retail,SHB.L,0.8741402293678576,-0.004759093875968877,0.0013655612038773678,0.9097195285144156,-0.0055124522918998655,0.001490048260866747,0.9150123656948158,-0.005069603551753239,0.0019987279678810414
12,Safestore Ltd.,Self Storage,SAFE.L,0.5281167347508462,0.018691256834097097,0.000825011479697799,0.5613912398955924,0.018199741212420066,0.0009195142177922352,0.6663126546562512,0.018210161809166493,0.0014554751259598818
13,Great Portland Estates Plc,Office,GPOR.L,0.8048603375805716,0.0017291779444403963,0.0012573337945268625,0.8302078525186907,0.001058412536053304,0.0013598144571256045,0.9570370570941255,0.0011470866861146166,0.0020905255535645833
14,Workspace Group Plc,Office,WKP.L,1.128601503029045,0.007732746583342543,0.001763074590776657,1.1464572915048477,0.006846790024655944,0.001877805894916247,1.4013256121863529,0.006763083981155766,0.0030610173132010533
15,Capital & Counties Properties PLC,Retail,CAPC.L,1.4176123594891066,-0.007997897217537756,0.0022145605192605057,1.4423812151454842,-0.009117955358852552,0.0023625057545418374,1.4126027279118336,-0.008317106354490046,0.003085650736138932
16,Sirius Real Estate Limited,Diversified,SRE.L,1.01708980475168,0.01483423616467541,0.0015888736515793302,1.0171882545723216,0.014085198135547749,0.0016660734898971139,0.8097053620046275,0.015132180910307838,0.0017686982312561123
17,CLS Holdings Plc,Office,CLI.L,0.8127797607630115,0.012900798100189891,0.0012697053302275442,0.8218100836644988,0.012274584904293007,0.001346059579403255,0.9296436046691358,0.012408164303180817,0.002030688045841865
18,UK Commercial Property REIT,Industrial,UKCM.L,0.10935526008767571,0.0061154307781667964,0.0001708322024300831,0.11621496510014452,0.006013748026200729,0.0001903508732157726,0.37830328756402226,0.0053943538194425,0.0008263553472541221
19,Hammerson Plc,Retail,HMSO.L,2.067992136939975,-0.013616883311078385,0.003230568434278402,2.062614325864408,-0.015122637700901267,0.0033783982785463465,2.134896045810683,-0.014274440205561513,0.004663408490704109
20,GCP Student Living plc ,Student,DIGS.L,1.1311017241600516,0.00743029304869216,0.001766980377128679,1.1418387747204404,0.006564476265205289,0.0018702411316164772,0.9379968637634916,0.0076645989003170404,0.002048934676380206
21,LXI REIT PLC,Diversified,LXI.L,0.5695233964373485,0.01133254338182611,0.0009707546373695696,0.5787662662492459,0.010893177849326724,0.0010415889107156398,0.3924565881529489,0.010922148228823194,0.0008725012029772277
22,BMO Commercial Property Trust Limited,Diversified,BCPT.L,0.9596103605432188,0.0005463545302382225,0.0014990806225040401,0.9984402761410067,-0.00027995984199007964,0.0016353657917761698,0.8368399180615881,0.0006389700064795255,0.00182797021283846
23,Target Healthcare REIT Limited,Heathcare,THRL.L,0.3455416668720743,0.005065724141745916,0.000539797024265604,0.33685863697739066,0.004838162832866532,0.0005517476655753131,0.31502284121291324,0.005063676158778277,0.0006881272722204975
24,Helical plc.,Office,HLCL.L,0.7388144245206805,0.010578465796518123,0.0011541584303012998,0.7864923432021381,0.009887371364834552,0.001288211928446898,0.8237312885272442,0.010185772387265792,0.0017993360812647414
25,Tritax Eurobox PLC,Industrial,BOXE.L,0.4615594674271296,0.006732944480537293,0.000991504917261127,0.42810903009081785,0.00629229987905673,0.001002601458938724,0.3544228682545979,0.0058146180237659256,0.0009738151431670279
26,Picton Property Income Limited,Diversified,PCTN.L,0.4764493396232419,0.008949265684714219,0.0007442978963146374,0.46620351996698417,0.008630161637165798,0.0007636043004058171,0.40902686269086225,0.00901197104941067,0.0008934670838618337
27,ESP Empiric Student Property,Student,ESP.L,1.177747752793229,-0.00020323715073746726,0.0018398497004665176,1.1827827581469843,-0.0010857865234319408,0.0019373041212362623,1.0410308424358794,-0.00012567063417353712,0.002273999279368583
28,Supermarket Income REIT,Retail,SUPR.L,,,0.00022092521376375294,,,0.0002420050020779686,,,0.00022688459648526974
29,Stenprop,Industrial,STP.L,0.9275876304241021,0.016226176749190666,0.0019421881159535578,,,0.0022270292538818562,0.9741680750070656,0.014712972567652445,0.0026013190064261304
30,FTSE100,Index,^FTSE,1.0000000000000002,5.421010862427522e-20,0.0015621763625555667,0.9635859975043158,-0.0006237188686875398,0.0015782772544429364,0.6324030965710351,0.0007162311920378748,0.0013814040153777392
31,FTSE350,Index,^FTLC,1.0103067056148716,0.0007119169303903583,0.0015782772544429364,1.0,1.6263032587282567e-19,0.0016379204954520608,0.6703393505448695,0.0013542878396772472,0.0014642709302489544
32,iShares UK Property,ETF,IUKP.L,0.8842817293163359,0.0005064252892147214,0.0013814040153777392,0.8939816885585891,-0.00017449193583526207,0.0014642709302489544,0.9999999999999997,-1.2468324983583301e-18,0.002184372630159271
