,AGR.L,BBOX.L,BCPT.L,BLND.L,BOXE.L,BYG.L,CAPC.L,CLI.L,DIGS.L,DLN.L,ESP.L,GPOR.L,GRI.L,HLCL.L,HMSO.L,IUKP.L,LAND.L,LMP.L,LXI.L,PCTN.L,PHP.L,SAFE.L,SGRO.L,SHB.L,SRE.L,STP.L,SUPR.L,THRL.L,UKCM.L,UTG.L,WKP.L,^FTLC,^FTSE
ESP.L,4.3596568874646324e-05,0.0011656830436448222,0.003261731289793107,0.004042685819424521,0.0011930718791647625,0.000978192709150776,0.0037641318776813148,0.0024911308954553247,0.0044752993546691615,0.0023648712681291527,0.005842933967140641,0.002277854352490838,0.0015647435304383562,0.00190024436727556,0.005611780583592758,0.002273999279368583,0.004427470767170814,0.001446416311504806,0.001456760220190042,0.0024971106120932956,-0.00019089911767848286,0.001004443280424155,0.0009250580940756594,0.0030827673227270813,0.0027484735151309826,0.003177512554434357,0.00013709796430644674,0.0012625854888238296,0.0013531781243675425,0.0035294052507552163,0.0026647024628353023,0.0019373041212362623,0.0018398497004665176
GPOR.L,0.0005006600827381149,0.0007855118611136552,0.002275214414917923,0.0034067184575313565,0.0007295600767582973,0.001048663682104734,0.0031785222769241733,0.0017076704774452386,0.0024881443905389665,0.002817488053767488,0.002277854352490838,0.003472840042699647,0.0013504309151267657,0.0021306353068689496,0.0038589722456371274,0.0020905255535645833,0.00333153477286529,0.0015487551190104133,0.0009702610046487404,0.0011676121639802722,0.00044015549440883626,0.001340677999177772,0.001000247311110778,0.0021746249649994237,0.0011575462210559636,0.002365279729380928,0.00015354254430774073,0.0008564172838728313,0.0007853341328693476,0.002696716863103758,0.003430637543527922,0.0013598144571256045,0.0012573337945268625
GRI.L,0.0005754261259849842,0.0011904586632570352,0.0014151058065088845,0.002087555245174994,0.0007740459308115781,0.001126544486685555,0.001944445721691508,0.001697447616574796,0.0014675755678213575,0.0015470706636024254,0.0015647435304383562,0.0013504309151267657,0.0027697778876228196,0.0011709930618448887,0.003327082269039106,0.001513581942721412,0.001960075953087324,0.0013766420894298394,0.0008530208109865348,0.0006773168132691586,0.00037251542873738063,0.0015555767019360671,0.0010425811590510038,0.001543821043902451,0.0015667870351669785,0.002348741249708429,0.0005277047605584616,0.0006386462391751529,0.0005746625151605761,0.0019379389446644985,0.0021675523887778937,0.0010737861432645332,0.0009758356878025695
HLCL.L,-0.00019579439650065265,0.0008835394812797238,0.0017572593962558631,0.003038660876774011,0.00020996542510080685,0.0009650991021999441,0.00271144315751341,0.0020153514394220316,0.001703065206572044,0.002306082175593921,0.00190024436727556,0.0021306353068689496,0.0011709930618448887,0.0051035339179979905,0.003989400493371519,0.0017993360812647414,0.0029506210141427218,0.0011196107557531552,0.0008446228469168455,0.0010425848131623882,-0.00012261360517055891,0.0015338026461202711,0.0008701195515675798,0.001547137383945841,0.001716986877029327,0.002663289867433354,-0.00022935334397613445,0.000861853057502671,0.0005307341050917197,0.0024125351467695934,0.003726484650527855,0.001288211928446898,0.0011541584303012998
HMSO.L,0.00046532687365690074,0.002600919236725815,0.0036848795010975943,0.008478843869810723,0.0037128434272843845,0.0017093392424475736,0.008156935189251122,0.0041622831238234586,0.004606028751187077,0.004800172808626475,0.005611780583592758,0.0038589722456371274,0.003327082269039106,0.003989400493371519,0.018796646891250123,0.004663408490704109,0.007314487262044509,0.002758989499265933,0.0023650279407713176,0.002702765938112408,-0.00022315220271257473,0.0021566012655944333,0.002038900615974558,0.005163483245094169,0.004602876225154231,0.006709981659208844,0.0007112627794022018,0.0015124533803198255,0.0018997717855007308,0.0063533145414578765,0.007214277130957966,0.0033783982785463465,0.003230568434278402
IUKP.L,0.0004524650131193291,0.0013580749949288777,0.00182797021283846,0.0034921039526939262,0.0009738151431670279,0.0012672839045419688,0.003085650736138932,0.002030688045841865,0.002048934676380206,0.002351285162337738,0.002273999279368583,0.0020905255535645833,0.001513581942721412,0.0017993360812647414,0.004663408490704109,0.002184372630159271,0.003441551084745638,0.0017595352615042664,0.0008725012029772277,0.0008934670838618337,0.00015559812129489124,0.0014554751259598818,0.0013285936111871515,0.0019987279678810414,0.0017686982312561123,0.0026013190064261304,0.00022688459648526974,0.0006881272722204975,0.0008263553472541221,0.0027772212583020393,0.0030610173132010533,0.0014642709302489544,0.0013814040153777392
LAND.L,3.1793757886388886e-05,0.001864501552909655,0.003310183323418982,0.006693961926161551,0.00107236340343787,0.001896300700949855,0.0054323476718683514,0.003313252044171962,0.004159041621893198,0.0035604861687700325,0.004427470767170814,0.00333153477286529,0.001960075953087324,0.0029506210141427218,0.007314487262044509,0.003441551084745638,0.007058393643077677,0.0025141004907547936,0.0011767025541400873,0.0014409679884405083,-2.5144930277309648e-05,0.00174017318568139,0.0016320569778432198,0.003495461938096418,0.002877605078262289,0.0036507561727425657,-2.2074213110147333e-05,0.0011668113301356077,0.0012439305339213712,0.004707942198640473,0.004907662571556662,0.002491365524021068,0.0023629651127023065
LMP.L,0.0003611818531524276,0.0015062368039417298,0.0013870227711427704,0.002549006102800989,0.00043635657279166696,0.0010657116741448005,0.0018803607073822224,0.00146408025182214,0.0014744795856350696,0.0017465343756810855,0.001446416311504806,0.0015487551190104133,0.0013766420894298394,0.0011196107557531552,0.002758989499265933,0.0017595352615042664,0.0025141004907547936,0.0022867288064127573,0.0006909539961301416,0.0002862120670595083,0.00018229966414760345,0.0013931244221191221,0.0014048517080127172,0.0013628624546121201,0.0011501136464517835,0.0018842003326840812,0.0002034982192801453,0.0004852584244239255,0.0005313730485957433,0.0021845235033316488,0.002124313427495115,0.0011327673570622674,0.0010656178056967502
LXI.L,-1.774210080204239e-05,0.0009439816839892359,0.0018436181226204145,0.001559805310014285,0.0011021061492043095,0.00046223437452520486,0.0014044506898079406,0.0007946912014853602,0.001809275918510755,0.0007262524216434052,0.001456760220190042,0.0009702610046487404,0.0008530208109865348,0.0008446228469168455,0.0023650279407713176,0.0008725012029772277,0.0011767025541400873,0.0006909539961301416,0.0017789067314178282,0.0011686060296505593,8.931180360656141e-05,0.0004143094745188468,0.00011311593583036974,0.0012782571584847907,0.0016255097542401322,0.001638133669509163,0.0001715379173586568,0.00039170378406532246,0.0001816756404973004,0.0012900093521936672,0.0010871025429899986,0.0010415889107156398,0.0009707546373695696
PCTN.L,0.00030360756289466876,0.0005505857100849945,0.0016842239121255963,0.0014141766079686325,0.0019058512270983246,0.00030266737510504436,0.0019884581295412226,0.0003617338272610628,0.0021749022667647885,0.0013923388430405728,0.0024971106120932956,0.0011676121639802722,0.0006773168132691586,0.0010425848131623882,0.002702765938112408,0.0008934670838618337,0.0014409679884405083,0.0002862120670595083,0.0011686060296505593,0.00330475852243021,0.00023113281044782744,-0.0001648454591993459,-4.352857813016007e-05,0.0015370309383730902,0.0010340081347267394,0.0017114242871929524,0.00036376074633408294,0.0006643274723313876,0.0010240607047835143,0.0010705944761692419,0.0013695046669134259,0.0007636043004058171,0.0007442978963146374
