,AGR.L,BBOX.L,BCPT.L,BLND.L,BOXE.L,BYG.L,CAPC.L,CLI.L,DIGS.L,DLN.L,ESP.L,GPOR.L,GRI.L,HLCL.L,HMSO.L,IUKP.L,LAND.L,LMP.L,LXI.L,PCTN.L,PHP.L,SAFE.L,SGRO.L,SHB.L,SRE.L,STP.L,SUPR.L,THRL.L,UKCM.L,UTG.L,WKP.L,^FTLC,^FTSE
GRI.L,0.0684557808816858,0.016516042594029366,0.011923402804962232,0.054463846193223975,0.005034272548317918,0.049297862865643846,0.05388081521803292,0.0865440704911096,0.042362630649420335,0.06024229266887638,0.01275107526737993,0.05374874221332915,0.07620276270238513,0.06744584005823799,0.05034509944827219,0.046582667822372595,0.05188256326818985,0.05092429284183501,0.015550430229683061,0.024574339084973064,0.054683262687622164,0.07310252612424188,0.060335135205611595,0.051460998790869975,0.061808228156675145,0.03637844478345373,0.028161225913741563,0.012149264982389734,0.021705664605725927,0.07656949711823736,0.09187171107834986,0.03090382344445847,0.028689789923666907
HLCL.L,0.05805470571233081,0.01220675122425845,0.02701065640145224,0.05466632469452246,0.01893997727851504,0.05028744586615003,0.06760905381326612,0.08011097457507038,0.05915121397231669,0.06672717760571951,0.02893365629435652,0.0589441425132085,0.06744584005823799,0.07443099053771328,0.09517606875807667,0.05036186310971729,0.06097448525300208,0.04479695179365931,0.035911047278503555,0.03712872875580809,0.051901653589718516,0.07073676948890009,0.052267621452911535,0.058965643488231995,0.05149165162561604,0.04341852505930159,0.02914944812808673,0.009976262123890243,0.033166469780544175,0.0763243897799565,0.09464494629900069,0.033181800418318454,0.031950702956605986
HMSO.L,0.025048718286989596,0.03201104265750538,0.09007097526879321,0.07329357009200685,0.07355171598761572,0.058188694552595344,0.14603439993156325,0.09488662651101995,0.09222841027641117,0.08644491403611784,0.06805958612263363,0.0844414066849257,0.05034509944827219,0.09517606875807667,0.32439229033237704,0.0790747851591925,0.08461720904161465,0.026237164670859164,0.08535650833788767,0.08065898022037019,0.025869111060001233,0.07376284772142039,0.034059741127421495,0.10289490472772539,0.02856858496233274,0.04224125165062174,0.04059191045346746,-6.850784957424666e-05,0.08253257571372712,0.06518940630394068,0.11619752233675329,0.05917911477391793,0.06037113576784671
IUKP.L,0.03876347701879552,0.013073978952852955,0.021020364621176783,0.039371560100604004,0.014961458064512812,0.03447967160207884,0.05119840221096274,0.05805546200135358,0.03792367903884614,0.0451924537499945,0.018641105345457168,0.041422491485395764,0.046582667822372595,0.05036186310971729,0.0790747851591925,0.036592384864413144,0.04099361990004151,0.029945498433609486,0.02292292976135674,0.026053370411810647,0.032535229448143556,0.048904417892881975,0.035833392169359185,0.042757509213947636,0.03561119695207469,0.026206192489996453,0.0210055632627541,0.00620047630299376,0.024734010755293682,0.049729905419973394,0.06562015541659655,0.02517339554344825,0.02428564906377632
LAND.L,0.0458163409663037,0.01110578618836348,0.022629175678709142,0.04224430749904923,0.017427206091114353,0.03825888888300672,0.05481113965856652,0.05377553091200163,0.051910898319700666,0.05438184589604964,0.02731808821274645,0.04918066341781559,0.05188256326818985,0.06097448525300208,0.08461720904161465,0.04099361990004151,0.052412609034124424,0.033527317594640726,0.03130851834762954,0.030288644274292502,0.042863371468155075,0.053483273616875555,0.03911612821402718,0.04490035574650623,0.03877587751217937,0.03589035847805619,0.024483075154890954,0.007988493218009542,0.027549649597799854,0.05821251262566057,0.07368771279596235,0.026359512785131125,0.02550421724043035
LMP.L,0.04550454087092728,0.007984524774372267,0.007356388607019613,0.03614245216894919,0.0022750574816658865,0.033816506693900156,0.03428075577369397,0.061033297527255476,0.028006911513889437,0.04015519610335081,0.007915325544952853,0.034561920029627935,0.05092429284183501,0.04479695179365931,0.026237164670859164,0.029945498433609486,0.033527317594640726,0.03491288627550728,0.011095343212762813,0.016614521125276328,0.03671159198381308,0.04980835645486809,0.04090493317223326,0.034866609397572024,0.04145313811991824,0.025542187551017906,0.01772914685398913,0.008184805227249308,0.013820559662752805,0.05339344693666766,0.06192426467015172,0.019742329296274393,0.018290821020870165
LXI.L,0.008374602034231954,-0.003522104324864593,0.029217275438097618,0.022125411325898122,0.017441605677989417,0.02238362311119081,0.042540683617388116,0.032271897267407416,0.0403462985480958,0.03280726034720191,0.028460305232280308,0.02675015903982368,0.015550430229683061,0.035911047278503555,0.08535650833788767,0.02292292976135674,0.03130851834762954,0.011095343212762813,0.02897902337776138,0.030314082226114317,0.014581156248937813,0.02666290171829025,0.011559887270178884,0.03452666337250893,0.007835264878392005,0.018836068312496165,0.008106584517227235,0.0008517158830007055,0.026645502320774377,0.03181157075320489,0.04138246323080389,0.015381904571782795,0.016125996569073913
PCTN.L,0.016313934297284366,0.002537118425793982,0.025944611607900694,0.027305590921011286,0.0194298265048852,0.025584743551285156,0.044385594793884174,0.04416523076411366,0.03427514352884807,0.03386472123718682,0.02172198925737003,0.028886053592809664,0.024574339084973064,0.03712872875580809,0.08065898022037019,0.026053370411810647,0.030288644274292502,0.016614521125276328,0.030314082226114317,0.027525976877327094,0.016947091706645972,0.03319941137348575,0.019070379464975886,0.037119430131602994,0.016501373613736048,0.022119181873276675,0.012941203945396475,0.0020378330166107147,0.025055187683675508,0.03553152542743127,0.047322351308795786,0.018400858743471735,0.018569872712077565
PHP.L,0.05246464954245155,0.008520325784569491,0.005468895123428588,0.03640918341672837,0.0025722924398094496,0.034238296505542644,0.033577947955057585,0.049126296534365954,0.038350245323535176,0.04596083329830284,0.014163175800961906,0.040545287635838985,0.054683262687622164,0.051901653589718516,0.025869111060001233,0.032535229448143556,0.042863371468155075,0.03671159198381308,0.014581156248937813,0.016947091706645972,0.046210437294545985,0.0504515140816468,0.0425135900295572,0.03199173807278298,0.04378360956534163,0.03202448198245552,0.02093717406401227,0.010038676679133102,0.013719711632036256,0.05678928236176193,0.06474095459477602,0.019558003585349634,0.018017682125077008
SAFE.L,0.06181312711409502,0.01226472773055106,0.022050707517404056,0.057291774532576355,0.01237909288701191,0.05306369289670638,0.06399858325685365,0.09744758793359705,0.04792955360628346,0.06376582831018719,0.01857592475099648,0.05508307136010768,0.07310252612424188,0.07073676948890009,0.07376284772142039,0.048904417892881975,0.053483273616875555,0.04980835645486809,0.02666290171829025,0.03319941137348575,0.0504515140816468,0.07618866805208516,0.05851007468535126,0.06085292975152503,0.0579806739565177,0.039491589753477545,0.027515966042662977,0.010484569603127405,0.029124580726891714,0.08037090642099075,0.09734045806596285,0.033382342902090675,0.031690858537204755
