,AGR.L,BBOX.L,BCPT.L,BLND.L,BOXE.L,BYG.L,CAPC.L,CLI.L,DIGS.L,DLN.L,ESP.L,GPOR.L,GRI.L,HLCL.L,HMSO.L,IUKP.L,LAND.L,LMP.L,LXI.L,PCTN.L,PHP.L,SAFE.L,SGRO.L,SHB.L,SRE.L,STP.L,SUPR.L,THRL.L,UKCM.L,UTG.L,WKP.L,^FTLC,^FTSE
STP.L,4.2941988901102235e-05,5.790399689232587e-05,4.6850662090299924e-05,5.710130949387935e-05,3.3337123535049475e-05,5.10098334681468e-05,5.831089017354162e-05,6.23551027002441e-05,6.551611555561927e-05,5.2776794284973945e-05,6.098359604640166e-05,4.823271161961842e-05,4.408291994321661e-05,8.629356520554126e-05,0.00012843113463203277,5.074799885332235e-05,5.9371161097058556e-05,6.513649895357904e-05,4.2954306302789504e-05,6.644568197649671e-05,3.7038015198007e-05,5.817836063264332e-05,4.658231074086525e-05,4.48290741862592e-05,8.997751764547253e-05,0.00015189014067980113,1.7859889738975458e-05,5.411849166809069e-05,5.16225392446237e-05,6.84105174756476e-05,6.283645920680484e-05,4.8325254028037174e-05,4.921649489631367e-05
SUPR.L,9.253238458602307e-06,2.28214816316708e-05,3.303183552694045e-05,1.5673665400015703e-05,1.9397535766184236e-05,2.198747902147416e-05,1.696034434536038e-05,1.9316528763530464e-05,2.5193233505181388e-05,1.5611416267634772e-05,2.585824185298069e-05,1.79214153951773e-05,1.8890848847614093e-05,3.434722379456173e-05,3.5871284130253806e-05,1.786131645683483e-05,1.4865795331977857e-05,2.6871323529770642e-05,1.4023430437683199e-05,4.514868441971709e-05,1.573308928686304e-05,1.9741092057446287e-05,1.4296447947365392e-05,1.0236827851069319e-05,3.3564866630767995e-05,1.7859889738975458e-05,3.220275845225931e-05,2.6101859677043758e-05,2.4322623324872846e-05,2.6645223560958218e-05,2.7970052936957337e-05,1.3340176915851258e-05,1.2527596906708894e-05
THRL.L,4.361931429409782e-05,9.581057471651032e-05,9.586226503130712e-05,6.644415023503978e-05,0.00010848104983540103,9.837821068122663e-05,6.679155724435258e-05,6.623046654928065e-05,0.00011720461110736927,6.775817952681389e-05,0.00011246718631792756,6.783635839886644e-05,8.329956789615732e-05,0.00010996609599959724,0.00016678178558574044,7.118279542470982e-05,6.312546509595219e-05,7.989796986809988e-05,8.321222317327542e-05,0.00014946694238971006,6.746495618615307e-05,6.863279761936453e-05,4.9047387678569206e-05,5.349075940508168e-05,7.78775240022971e-05,5.411849166809069e-05,2.6101859677043758e-05,0.00021802131792318587,0.00010753413899025765,0.00010922566578720064,0.00012151785918509249,5.310362833573985e-05,5.0736916342008e-05
UKCM.L,7.254494301258717e-05,0.00011914197277250478,0.00022661609646338626,0.00015189319251313787,0.00010788028931499441,0.00013126420608422818,0.00016472333327164444,0.00012889304450345082,0.00014392643447174136,0.00013720872921797912,0.00013899515130099118,0.00013965619838279564,0.0001356961971979363,0.00014992229854619867,0.0002916758363796205,0.0001293123186655328,0.00014494977357279353,0.00011945054211085793,9.525667903490206e-05,0.00022787012309787754,8.327117844920489e-05,0.00011108349305689264,8.18473610005349e-05,0.00012912196779573494,9.98866440551375e-05,5.16225392446237e-05,2.4322623324872846e-05,0.00010753413899025765,0.0002818475982763376,0.00016840382216231882,0.00021310267723857136,8.453324671719359e-05,8.047306229976341e-05
UTG.L,9.489401130465477e-05,0.00016393122957935694,0.00016579358068290727,0.00022072758670360247,0.00011937949222648403,0.0001790180623210901,0.00022292188895267666,0.000161721123268576,0.00018720328833736458,0.00020577093507113608,0.0001890571637660061,0.0002022036388687795,0.00017320276595694827,0.00018680093644433255,0.0003573356410048921,0.00017720422067022843,0.00021816746693428067,0.0001682650911642216,0.00011818128715420368,0.00017081890587144376,9.823872735968972e-05,0.0001664267356011318,0.00013067459097013885,0.0001855373476169075,0.00010774022035050174,6.84105174756476e-05,2.6645223560958218e-05,0.00010922566578720064,0.00016840382216231882,0.0003194902959686832,0.00026388829538971637,0.00010344796820979767,9.827440895048708e-05
WKP.L,0.00011236936736532332,0.00018200872059050095,0.00021986946868599722,0.0002915034516038172,0.00012905610255869155,0.00021086638444454083,0.00030955356194204163,0.00019169916734966782,0.00018770244210041288,0.0002619833905918045,0.0002000410192394857,0.0002602008119816254,0.0002053383125407091,0.0002589091999949105,0.00046705122174913046,0.00021696500838348673,0.00027426483076417363,0.00018830826461702823,0.00010241904923972205,0.00022334032602280883,0.00011404717130426877,0.0002082016286464163,0.00013890821825964078,0.0002308846431833767,0.000139261651159494,6.283645920680484e-05,2.7970052936957337e-05,0.00012151785918509249,0.00021310267723857136,0.00026388829538971637,0.0004953728871164255,0.00011218865317379926,0.00010437986684542668
^FTLC,5.293551996178729e-05,7.669266598756763e-05,8.883853978755795e-05,0.0001162112951185442,5.718462357628798e-05,7.286710536605566e-05,0.00011638345839086064,6.994500333890204e-05,7.746403397183004e-05,8.553095402091464e-05,7.749318222818104e-05,8.821725733828287e-05,8.8353018213612e-05,9.259436019652312e-05,0.0001864939575516991,8.647202470990157e-05,0.00010778617195596104,8.347318722109355e-05,5.662203336275649e-05,9.638965386427569e-05,5.375111112795702e-05,8.083925537715335e-05,7.344431725008034e-05,7.791693234594595e-05,7.971399084080864e-05,4.8325254028037174e-05,1.3340176915851258e-05,5.310362833573985e-05,8.453324671719359e-05,0.00010344796820979767,0.00011218865317379926,0.00010864350846093287,0.00010651862297480529
^FTSE,5.23770305743259e-05,7.259673425512973e-05,8.368496996330291e-05,0.00011214515312122316,5.370135419804513e-05,6.869172177395012e-05,0.00011051688822897625,6.508662542509754e-05,7.320384820022158e-05,7.928543128317844e-05,7.134806430401233e-05,8.231913867485606e-05,8.42993306233358e-05,8.646016228598303e-05,0.00017884018832863355,8.290209547437587e-05,0.00010324900321455196,8.086359849561848e-05,5.383609277598554e-05,9.102273934367512e-05,5.272741275027033e-05,7.563322036139578e-05,7.320830690767714e-05,7.253339807954615e-05,8.06888776311573e-05,4.921649489631367e-05,1.2527596906708894e-05,5.0736916342008e-05,8.047306229976341e-05,9.827440895048708e-05,0.00010437986684542668,0.00010651862297480529,0.00011344610799274978
